url,stars,forks
https://github.com/golang/go,105789,14911
https://github.com/google/go-github,8941,1715
https://github.com/angular/material,16729,3424
https://github.com/angular/angular-cli,25720,11883
https://github.com/sebholstein/angular-google-maps,1998,735
https://github.com/d3/d3,103428,22538
https://github.com/facebook/react,197753,39590
https://github.com/tensorflow/tensorflow,169095,70625
https://github.com/keras-team/keras,56644,18328
https://github.com/pallets/flask,61091,14925
