url,dateStart,dateEnd,open,closed,total
https://github.com/d3/d3,2022-11-16,2022-12-16,0,0,0
https://github.com/d3/d3,2022-10-16,2022-11-16,5,17,22
https://github.com/d3/d3,2022-09-16,2022-10-16,14,11,25
https://github.com/d3/d3,2022-08-16,2022-09-16,4,8,12
https://github.com/d3/d3,2022-07-16,2022-08-16,34,13,47
https://github.com/d3/d3,2022-06-16,2022-07-16,6,15,21
https://github.com/d3/d3,2022-05-16,2022-06-16,8,11,19
https://github.com/d3/d3,2022-04-16,2022-05-16,3,6,9
https://github.com/d3/d3,2022-03-16,2022-04-16,4,23,27
https://github.com/d3/d3,2022-02-16,2022-03-16,6,18,24
https://github.com/d3/d3,2022-01-16,2022-02-16,9,15,24
https://github.com/d3/d3,2021-12-16,2022-01-16,8,13,21
https://github.com/d3/d3,2021-11-16,2021-12-16,6,16,22
https://github.com/d3/d3,2021-10-16,2021-11-16,6,15,21
https://github.com/d3/d3,2021-09-16,2021-10-16,12,23,35
https://github.com/d3/d3,2021-08-16,2021-09-16,3,14,17
https://github.com/d3/d3,2021-07-16,2021-08-16,9,32,41
https://github.com/d3/d3,2021-06-16,2021-07-16,3,30,33
https://github.com/d3/d3,2021-05-16,2021-06-16,12,63,75
https://github.com/d3/d3,2021-04-16,2021-05-16,18,76,94
https://github.com/d3/d3,2021-03-16,2021-04-16,9,38,47
https://github.com/d3/d3,2021-02-16,2021-03-16,5,29,34
https://github.com/d3/d3,2021-01-16,2021-02-16,10,26,36
https://github.com/d3/d3,2020-12-16,2021-01-16,3,18,21
