url,dateStart,dateEnd,open,closed,total
https://github.com/facebook/react,2022-11-16,2022-12-16,25,2,27
https://github.com/facebook/react,2022-10-16,2022-11-16,778,1051,1829
https://github.com/facebook/react,2022-09-16,2022-10-16,477,1365,1842
https://github.com/facebook/react,2022-08-16,2022-09-16,456,1434,1890
https://github.com/facebook/react,2022-07-16,2022-08-16,413,1362,1775
https://github.com/facebook/react,2022-06-16,2022-07-16,422,1360,1782
https://github.com/facebook/react,2022-05-16,2022-06-16,386,1477,1863
https://github.com/facebook/react,2022-04-16,2022-05-16,378,1656,2034
https://github.com/facebook/react,2022-03-16,2022-04-16,336,1832,2168
https://github.com/facebook/react,2022-02-16,2022-03-16,287,1642,1929
https://github.com/facebook/react,2022-01-16,2022-02-16,350,1894,2244
https://github.com/facebook/react,2021-12-16,2022-01-16,306,1270,1576
https://github.com/facebook/react,2021-11-16,2021-12-16,330,1419,1749
https://github.com/facebook/react,2021-10-16,2021-11-16,299,1412,1711
https://github.com/facebook/react,2021-09-16,2021-10-16,287,1325,1612
https://github.com/facebook/react,2021-08-16,2021-09-16,276,1368,1644
https://github.com/facebook/react,2021-07-16,2021-08-16,289,1238,1527
https://github.com/facebook/react,2021-06-16,2021-07-16,348,1251,1599
https://github.com/facebook/react,2021-05-16,2021-06-16,374,1458,1832
https://github.com/facebook/react,2021-04-16,2021-05-16,353,1455,1808
https://github.com/facebook/react,2021-03-16,2021-04-16,389,1554,1943
https://github.com/facebook/react,2021-02-16,2021-03-16,282,1524,1806
https://github.com/facebook/react,2021-01-16,2021-02-16,293,1421,1714
https://github.com/facebook/react,2020-12-16,2021-01-16,240,1012,1252
