url,dateStart,dateEnd,open,closed,total
https://github.com/google/go-github,2022-11-16,2022-12-16,36,9,45
https://github.com/google/go-github,2022-10-16,2022-11-16,2278,4240,6518
https://github.com/google/go-github,2022-09-16,2022-10-16,1652,4495,6147
https://github.com/google/go-github,2022-08-16,2022-09-16,1627,5126,6753
https://github.com/google/go-github,2022-07-16,2022-08-16,1365,4986,6351
https://github.com/google/go-github,2022-06-16,2022-07-16,1282,4424,5706
https://github.com/google/go-github,2022-05-16,2022-06-16,1280,4820,6100
https://github.com/google/go-github,2022-04-16,2022-05-16,1194,4723,5917
https://github.com/google/go-github,2022-03-16,2022-04-16,1328,5110,6438
https://github.com/google/go-github,2022-02-16,2022-03-16,1591,4072,5663
https://github.com/google/go-github,2022-01-16,2022-02-16,1304,5015,6319
https://github.com/google/go-github,2021-12-16,2022-01-16,919,3465,4384
https://github.com/google/go-github,2021-11-16,2021-12-16,1072,4247,5319
https://github.com/google/go-github,2021-10-16,2021-11-16,1080,4259,5339
https://github.com/google/go-github,2021-09-16,2021-10-16,1092,4330,5422
https://github.com/google/go-github,2021-08-16,2021-09-16,1092,4580,5672
https://github.com/google/go-github,2021-07-16,2021-08-16,1150,4943,6093
https://github.com/google/go-github,2021-06-16,2021-07-16,1183,4794,5977
https://github.com/google/go-github,2021-05-16,2021-06-16,1248,5250,6498
https://github.com/google/go-github,2021-04-16,2021-05-16,1244,5157,6401
https://github.com/google/go-github,2021-03-16,2021-04-16,1452,5528,6980
https://github.com/google/go-github,2021-02-16,2021-03-16,1633,5151,6784
https://github.com/google/go-github,2021-01-16,2021-02-16,1182,5326,6508
https://github.com/google/go-github,2020-12-16,2021-01-16,1178,4456,5634
