url,dateStart,dateEnd,open,closed,total
https://github.com/pallets/flask,2022-11-16,2022-12-16,1,0,1
https://github.com/pallets/flask,2022-10-16,2022-11-16,36,55,91
https://github.com/pallets/flask,2022-09-16,2022-10-16,17,68,85
https://github.com/pallets/flask,2022-08-16,2022-09-16,17,77,94
https://github.com/pallets/flask,2022-07-16,2022-08-16,18,137,155
https://github.com/pallets/flask,2022-06-16,2022-07-16,8,103,111
https://github.com/pallets/flask,2022-05-16,2022-06-16,8,84,92
https://github.com/pallets/flask,2022-04-16,2022-05-16,19,102,121
https://github.com/pallets/flask,2022-03-16,2022-04-16,2,173,175
https://github.com/pallets/flask,2022-02-16,2022-03-16,3,127,130
https://github.com/pallets/flask,2022-01-16,2022-02-16,2,98,100
https://github.com/pallets/flask,2021-12-16,2022-01-16,3,94,97
https://github.com/pallets/flask,2021-11-16,2021-12-16,1,85,86
https://github.com/pallets/flask,2021-10-16,2021-11-16,1,137,138
https://github.com/pallets/flask,2021-09-16,2021-10-16,0,134,134
https://github.com/pallets/flask,2021-08-16,2021-09-16,2,86,88
https://github.com/pallets/flask,2021-07-16,2021-08-16,4,118,122
https://github.com/pallets/flask,2021-06-16,2021-07-16,4,141,145
https://github.com/pallets/flask,2021-05-16,2021-06-16,2,238,240
https://github.com/pallets/flask,2021-04-16,2021-05-16,2,273,275
https://github.com/pallets/flask,2021-03-16,2021-04-16,4,136,140
https://github.com/pallets/flask,2021-02-16,2021-03-16,0,119,119
https://github.com/pallets/flask,2021-01-16,2021-02-16,1,160,161
https://github.com/pallets/flask,2020-12-16,2021-01-16,1,97,98
