url,dateStart,dateEnd,open,closed,total
https://github.com/tensorflow/tensorflow,2022-11-16,2022-12-16,6,1,7
https://github.com/tensorflow/tensorflow,2022-10-16,2022-11-16,530,924,1454
https://github.com/tensorflow/tensorflow,2022-09-16,2022-10-16,369,933,1302
https://github.com/tensorflow/tensorflow,2022-08-16,2022-09-16,278,1183,1461
https://github.com/tensorflow/tensorflow,2022-07-16,2022-08-16,269,1105,1374
https://github.com/tensorflow/tensorflow,2022-06-16,2022-07-16,263,860,1123
https://github.com/tensorflow/tensorflow,2022-05-16,2022-06-16,260,1078,1338
https://github.com/tensorflow/tensorflow,2022-04-16,2022-05-16,223,1064,1287
https://github.com/tensorflow/tensorflow,2022-03-16,2022-04-16,243,1143,1386
https://github.com/tensorflow/tensorflow,2022-02-16,2022-03-16,229,1432,1661
https://github.com/tensorflow/tensorflow,2022-01-16,2022-02-16,232,1652,1884
https://github.com/tensorflow/tensorflow,2021-12-16,2022-01-16,186,953,1139
https://github.com/tensorflow/tensorflow,2021-11-16,2021-12-16,236,1194,1430
https://github.com/tensorflow/tensorflow,2021-10-16,2021-11-16,216,1311,1527
https://github.com/tensorflow/tensorflow,2021-09-16,2021-10-16,203,1319,1522
https://github.com/tensorflow/tensorflow,2021-08-16,2021-09-16,254,1527,1781
https://github.com/tensorflow/tensorflow,2021-07-16,2021-08-16,243,1885,2128
https://github.com/tensorflow/tensorflow,2021-06-16,2021-07-16,254,1528,1782
https://github.com/tensorflow/tensorflow,2021-05-16,2021-06-16,251,2218,2469
https://github.com/tensorflow/tensorflow,2021-04-16,2021-05-16,229,1915,2144
https://github.com/tensorflow/tensorflow,2021-03-16,2021-04-16,334,1819,2153
https://github.com/tensorflow/tensorflow,2021-02-16,2021-03-16,242,1685,1927
https://github.com/tensorflow/tensorflow,2021-01-16,2021-02-16,267,1803,2070
https://github.com/tensorflow/tensorflow,2020-12-16,2021-01-16,249,1737,1986
